Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2,Genebiotype,Genesymbol
ENSG00000000003,604,691,367,380,1059,332,352,971,protein_coding,TSPAN6
ENSG00000000005,0,0,0,0,0,0,0,0,protein_coding,TNMD
ENSG00000000419,1995,2302,2160,2454,1974,693,747,1761,protein_coding,DPM1
ENSG00000000457,554,607,433,518,88,26,29,83,protein_coding,SCYL3
ENSG00000000460,275,350,379,349,390,155,189,438,protein_coding,C1orf112
ENSG00000000938,2,2,2,1,0,0,0,1,protein_coding,FGR
ENSG00000000971,0,0,1,0,3,1,0,2,protein_coding,CFH
ENSG00000001036,178,229,334,452,821,280,287,732,protein_coding,FUCA2
ENSG00000001084,1274,1749,915,941,804,251,310,903,protein_coding,GCLC
ENSG00000001167,5820,6361,4616,5061,2311,727,685,1855,protein_coding,NFYA
ENSG00000001460,286,290,432,512,320,119,130,391,protein_coding,STPG1
ENSG00000001461,1653,1985,2190,2735,800,258,324,864,protein_coding,NIPAL3
ENSG00000001497,2310,2456,2829,3617,426,151,230,609,protein_coding,LAS1L
ENSG00000001561,1350,1544,1242,1344,1704,560,513,1525,protein_coding,ENPP4
ENSG00000001617,1233,1195,757,986,270,93,159,403,protein_coding,SEMA3F
ENSG00000001626,6,2,10,15,7,1,1,4,protein_coding,CFTR
ENSG00000001629,2465,2852,2490,2741,1296,412,462,1257,protein_coding,ANKIB1
ENSG00000001630,123,166,172,191,101,29,41,101,protein_coding,CYP51A1
ENSG00000001631,653,776,729,746,254,90,96,292,protein_coding,KRIT1
ENSG00000002016,467,617,613,719,159,43,70,188,protein_coding,RAD52
ENSG00000002330,248,320,218,524,173,71,107,198,protein_coding,BAD
ENSG00000002549,2172,2519,3845,5070,756,244,333,962,protein_coding,LAP3
ENSG00000002586,8476,10240,7193,9439,3949,1455,1173,3056,protein_coding,CD99
ENSG00000002586,8476,10240,7193,9439,3949,1455,1173,3056,protein_coding,CD99
ENSG00000002587,75,92,244,422,57,17,16,42,protein_coding,HS3ST1
ENSG00000002726,13,10,7,7,1,0,0,0,protein_coding,AOC1
ENSG00000002745,0,1,2,0,3,0,0,4,protein_coding,WNT16
ENSG00000002746,0,5,1,2,17,8,9,44,protein_coding,HECW1
ENSG00000002822,4,5,2,5,1,2,3,4,protein_coding,MAD1L1
ENSG00000002834,4015,4530,4146,4826,6525,2253,2575,6776,protein_coding,LASP1
ENSG00000002919,336,345,356,557,419,141,163,430,protein_coding,SNX11
ENSG00000002933,6,1,1,1,0,0,0,0,protein_coding,TMEM176A
ENSG00000003056,2144,2419,2274,2699,2620,980,1252,2935,protein_coding,M6PR
ENSG00000003096,69,92,121,211,276,85,119,279,protein_coding,KLHL13
ENSG00000003137,52,86,32,35,615,182,188,470,protein_coding,CYP26B1
ENSG00000003147,2587,2769,2701,3406,30,18,14,60,protein_coding,ICA1
ENSG00000003249,2037,2298,1503,2319,527,142,180,427,protein_coding,DBNDD1
ENSG00000003393,2105,2273,1837,1966,794,259,302,980,protein_coding,ALS2
ENSG00000003400,46,53,69,76,1,3,4,5,protein_coding,CASP10
ENSG00000003402,2496,2961,2597,2697,759,248,289,795,protein_coding,CFLAR
ENSG00000003436,9048,10230,4862,5114,2919,952,612,1836,protein_coding,TFPI
ENSG00000003509,862,940,898,1097,369,163,205,537,protein_coding,NDUFAF7
ENSG00000003756,3597,3756,2889,3700,710,207,240,750,protein_coding,RBM5
ENSG00000003987,42,63,27,23,30,8,9,38,protein_coding,MTMR7
ENSG00000003989,779,923,583,633,145,32,108,318,protein_coding,SLC7A2
ENSG00000004059,2840,3270,2369,4002,736,311,377,1012,protein_coding,ARF5
ENSG00000004139,364,426,520,650,33,12,37,98,protein_coding,SARM1
ENSG00000004142,4180,4811,5408,7502,1220,450,666,1584,protein_coding,POLDIP2
ENSG00000004399,258,255,85,90,156,67,68,223,protein_coding,PLXND1
ENSG00000004455,7357,8945,8524,9315,3560,1221,1128,3143,protein_coding,AK2
ENSG00000004468,1,3,9,7,2,1,0,4,protein_coding,CD38
ENSG00000004478,7701,9940,12036,13881,3125,1021,1390,3397,protein_coding,FKBP4
ENSG00000004487,4739,5697,3773,4169,1832,622,735,2000,protein_coding,KDM1A
ENSG00000004534,7763,8459,4896,5835,552,173,221,565,protein_coding,RBM6
ENSG00000004660,496,673,632,721,101,64,114,234,protein_coding,CAMKK1
ENSG00000004700,1318,1573,1608,1624,2369,826,656,1855,protein_coding,RECQL
ENSG00000004766,699,879,1143,1082,963,303,371,1060,protein_coding,VPS50
ENSG00000004776,30,32,21,29,6,0,0,5,protein_coding,HSPB6
ENSG00000004777,1238,1163,675,912,32,23,27,64,protein_coding,ARHGAP33
ENSG00000004779,2298,2902,2926,4236,860,304,299,847,protein_coding,NDUFAB1
ENSG00000004799,0,0,2,1,49,15,23,66,protein_coding,PDK4
ENSG00000004809,7,10,12,14,2,0,1,3,protein_coding,SLC22A16
ENSG00000004838,76,66,73,90,9,0,2,8,protein_coding,ZMYND10
ENSG00000004846,8,17,41,45,3,1,0,8,protein_coding,ABCB5
ENSG00000004848,39,43,45,79,3,1,2,6,protein_coding,ARX
ENSG00000004864,1270,1691,1718,1897,1011,314,425,1096,protein_coding,SLC25A13
ENSG00000004866,6058,6008,3963,5484,481,183,250,647,protein_coding,ST7
ENSG00000004897,6038,7517,6791,6819,13997,4251,3372,9790,protein_coding,CDC27
ENSG00000004939,6,2,6,5,1,0,0,7,protein_coding,SLC4A1
ENSG00000004948,1,1,0,0,0,0,0,1,protein_coding,CALCR
ENSG00000004961,1059,1244,859,1097,749,289,352,884,protein_coding,HCCS
ENSG00000004975,2339,2677,1527,2049,642,266,300,786,protein_coding,DVL2
ENSG00000005001,9,8,6,7,8,2,5,15,protein_coding,PRSS22
ENSG00000005007,3736,4481,3097,3703,452,145,181,407,protein_coding,UPF1
ENSG00000005020,2666,2971,2456,2774,1040,408,334,1187,protein_coding,SKAP2
ENSG00000005022,5822,7116,6956,8487,3049,1022,1043,2879,protein_coding,SLC25A5
ENSG00000005059,19,28,36,45,645,201,146,401,protein_coding,MCUB
ENSG00000005073,8,12,4,2,241,70,83,222,protein_coding,HOXA11
ENSG00000005075,436,536,489,821,293,120,202,407,protein_coding,POLR2J
ENSG00000005100,2027,2452,1740,2071,361,117,200,511,protein_coding,DHX33
ENSG00000005102,0,0,0,0,5,1,2,6,protein_coding,MEOX1
ENSG00000005108,92,125,6,9,1,0,0,2,protein_coding,THSD7A
ENSG00000005156,2277,2638,2769,3021,587,214,394,1039,protein_coding,LIG3
ENSG00000005175,5057,5544,5800,6180,2804,772,949,2740,protein_coding,RPAP3
ENSG00000005187,890,932,1747,1849,64,19,34,135,protein_coding,ACSM3
ENSG00000005189,777,872,739,772,107,53,65,175,protein_coding,REXO5
ENSG00000005194,1129,1365,1167,1661,598,187,271,793,protein_coding,CIAPIN1
ENSG00000005206,1084,1094,737,1108,83,48,74,145,protein_coding,SPPL2B
ENSG00000005238,1399,1404,849,1494,528,203,158,378,protein_coding,FAM214B
ENSG00000005243,0,2,4,4,13,9,14,24,protein_coding,COPZ2
ENSG00000005249,1436,1529,1220,1231,66,25,24,107,protein_coding,PRKAR2B
ENSG00000005302,2314,2912,1603,1826,2602,843,818,2219,protein_coding,MSL3
ENSG00000005339,4927,5657,3260,4028,1431,456,420,1078,protein_coding,CREBBP
ENSG00000005379,215,232,137,225,104,46,78,169,protein_coding,TSPOAP1
ENSG00000005381,1,2,0,0,0,0,0,0,protein_coding,MPO
ENSG00000005421,2,3,0,2,3,0,2,8,protein_coding,PON1
ENSG00000005436,1379,1648,1532,1600,701,243,324,870,protein_coding,GCFC2
ENSG00000005448,459,542,339,539,788,326,164,401,protein_coding,WDR54
ENSG00000005469,1000,1282,1135,1434,320,124,176,432,protein_coding,CROT
ENSG00000005471,3,3,5,14,7,4,4,7,protein_coding,ABCB4
ENSG00000005483,12660,13769,6702,7271,2616,892,470,1613,protein_coding,KMT2E
ENSG00000005486,1398,1441,718,1068,339,158,156,377,protein_coding,RHBDD2
ENSG00000005513,172,172,332,479,33,6,18,39,protein_coding,SOX8
ENSG00000005700,4300,4672,5315,5837,1400,442,487,1342,protein_coding,IBTK
ENSG00000005801,1736,2152,2022,2098,589,190,260,724,protein_coding,ZNF195
ENSG00000005810,6155,8104,7672,8265,560,173,198,599,protein_coding,MYCBP2
ENSG00000005812,3118,3859,2779,2722,990,310,211,615,protein_coding,FBXL3
ENSG00000005844,24,13,17,5,1,0,0,1,protein_coding,ITGAL
ENSG00000005882,1386,1454,1355,1716,444,163,176,571,protein_coding,PDK2
ENSG00000005884,672,678,359,595,7070,2785,1946,5204,protein_coding,ITGA3
ENSG00000005889,2433,2869,1521,1442,3435,1029,1076,2907,protein_coding,ZFX
ENSG00000005893,6334,7081,7233,7102,5072,1675,1655,4545,protein_coding,LAMP2
ENSG00000005961,15,10,4,8,26,15,15,44,protein_coding,ITGA2B
ENSG00000005981,0,0,0,0,1,0,3,3,protein_coding,ASB4
ENSG00000006007,9213,9477,2628,3618,4387,1418,1032,2747,protein_coding,GDE1
ENSG00000006015,369,430,505,983,148,75,124,292,protein_coding,REX1BD
ENSG00000006016,30,31,10,25,26,8,19,33,protein_coding,CRLF1
ENSG00000006025,71,100,3,25,224,101,85,220,protein_coding,OSBPL7
ENSG00000006042,907,996,1090,1647,740,302,324,925,protein_coding,TMEM98
ENSG00000006047,188,211,140,176,2,0,0,5,protein_coding,YBX2
ENSG00000006059,0,0,0,0,0,0,0,0,protein_coding,KRT33A
ENSG00000006062,219,264,304,435,563,212,280,762,protein_coding,MAP3K14
ENSG00000006071,278,251,274,371,5,2,7,14,protein_coding,ABCC8
ENSG00000006116,0,0,0,0,2,0,0,0,protein_coding,CACNG3
ENSG00000006118,2365,2734,1494,3182,974,340,429,977,protein_coding,TMEM132A
ENSG00000006125,10629,12526,12079,13455,4128,1466,1687,4434,protein_coding,AP2B1
ENSG00000006128,0,1,0,0,0,0,0,1,protein_coding,TAC1
ENSG00000006194,1498,1684,1429,2049,68,25,30,97,protein_coding,ZNF263
ENSG00000006210,2,2,1,3,5,0,2,3,protein_coding,CX3CL1
ENSG00000006282,4274,4939,3876,5567,597,237,337,824,protein_coding,SPATA20
ENSG00000006283,32,57,9,14,55,19,26,57,protein_coding,CACNA1G
ENSG00000006327,524,591,231,385,2660,960,1747,3810,protein_coding,TNFRSF12A
ENSG00000006377,1,0,0,0,1,0,2,2,protein_coding,DLX6
ENSG00000006432,921,1055,589,800,3611,1245,1238,3077,protein_coding,MAP3K9
ENSG00000006451,2698,2898,2973,3598,1575,506,490,1260,protein_coding,RALA
ENSG00000006453,2403,2667,2645,3044,811,284,255,602,protein_coding,BAIAP2L1
ENSG00000006459,1728,1798,941,836,324,83,91,236,protein_coding,KDM7A
ENSG00000006468,15030,17307,11372,11365,1925,616,799,2283,protein_coding,ETV1
ENSG00000006530,2456,2597,3207,3880,859,302,451,1280,protein_coding,AGK
ENSG00000006534,156,129,178,167,374,191,334,810,protein_coding,ALDH3B1
ENSG00000006555,0,1,2,2,93,29,30,93,protein_coding,TTC22
ENSG00000006576,2112,2562,1864,1733,753,259,255,834,protein_coding,PHTF2
ENSG00000006606,35,58,2,4,198,64,72,182,protein_coding,CCL26
ENSG00000006607,2734,3274,2175,2441,330,120,105,372,protein_coding,FARP2
ENSG00000006611,12,9,1,3,1,0,0,4,protein_coding,USH1C
ENSG00000006625,2288,2620,4937,6436,469,157,243,541,protein_coding,GGCT
ENSG00000006634,2109,2439,2897,2837,1149,395,496,1371,protein_coding,DBF4
ENSG00000006638,6,2,2,2,18,10,19,31,protein_coding,TBXA2R
ENSG00000006652,1048,1050,960,975,188,66,70,198,protein_coding,IFRD1
ENSG00000006659,0,0,0,0,0,0,0,0,protein_coding,LGALS14
ENSG00000006695,649,682,952,1089,659,252,385,1063,protein_coding,COX10
ENSG00000006704,1319,1433,712,955,208,67,112,286,protein_coding,GTF2IRD1
ENSG00000006712,5772,6815,5400,6814,706,180,289,789,protein_coding,PAF1
ENSG00000006715,1797,2181,2239,2603,1926,631,728,1914,protein_coding,VPS41
ENSG00000006740,1029,1026,649,925,226,72,102,281,protein_coding,ARHGAP44
ENSG00000006744,2556,2940,3289,4115,492,141,297,672,protein_coding,ELAC2
ENSG00000006747,46,70,74,79,12,5,6,18,protein_coding,SCIN
ENSG00000006756,1125,1278,1253,1632,284,103,127,319,protein_coding,ARSD
ENSG00000006757,1078,1233,1537,2276,455,192,263,647,protein_coding,PNPLA4
ENSG00000006788,9,21,6,14,0,0,0,0,protein_coding,MYH13
ENSG00000006831,1854,2189,1734,2241,414,152,174,513,protein_coding,ADIPOR2
ENSG00000006837,47,75,56,78,5,2,3,12,protein_coding,CDKL3
ENSG00000007001,0,0,1,2,0,0,2,0,protein_coding,UPP2
ENSG00000007038,1,0,1,1,0,0,0,0,protein_coding,PRSS21
ENSG00000007047,542,616,339,514,86,31,44,106,protein_coding,MARK4
ENSG00000007062,2,2,4,6,12,4,1,2,protein_coding,PROM1
ENSG00000007080,2398,2483,2514,4199,618,220,361,822,protein_coding,CCDC124
ENSG00000007129,1,0,0,0,0,0,0,0,protein_coding,CEACAM21
ENSG00000007168,5557,6938,5214,5542,3652,1234,956,2773,protein_coding,PAFAH1B1
ENSG00000007171,0,1,0,1,18,5,11,15,protein_coding,NOS2
ENSG00000007174,107,101,70,89,1,0,0,0,protein_coding,DNAH9
ENSG00000007202,13018,15911,11321,14248,5019,1544,1687,4708,protein_coding,KIAA0100
ENSG00000007216,0,1,0,1,0,0,0,0,protein_coding,SLC13A2
ENSG00000007237,22,17,5,9,1,2,4,2,protein_coding,GAS7
ENSG00000007255,173,162,188,356,43,19,31,66,protein_coding,TRAPPC6A
ENSG00000007264,9,6,5,13,7,6,7,23,protein_coding,MATK
ENSG00000007306,0,0,0,0,0,0,0,0,protein_coding,CEACAM7
ENSG00000007312,0,0,0,0,0,0,1,0,protein_coding,CD79B
ENSG00000007314,0,1,2,0,2,1,2,3,protein_coding,SCN4A
ENSG00000007341,878,995,1422,1535,554,183,226,588,protein_coding,ST7L
ENSG00000007350,10,16,7,4,2,0,0,0,protein_coding,TKTL1
ENSG00000007372,0,2,0,3,280,81,123,301,protein_coding,PAX6
ENSG00000007376,629,814,560,1019,554,196,371,877,protein_coding,RPUSD1
ENSG00000007384,1628,1947,1040,1351,408,132,117,313,protein_coding,RHBDF1
ENSG00000007392,3987,4511,2380,2720,115,31,35,117,protein_coding,LUC7L
ENSG00000007402,347,281,291,479,88,28,46,114,protein_coding,CACNA2D2
ENSG00000007516,281,293,220,269,77,33,42,76,protein_coding,BAIAP3
ENSG00000007520,345,412,393,891,148,48,103,262,protein_coding,TSR3
ENSG00000007541,760,791,492,850,163,71,85,244,protein_coding,PIGQ
ENSG00000007545,455,590,385,521,32,14,8,24,protein_coding,CRAMP1
ENSG00000007866,1224,1400,754,1058,288,114,78,239,protein_coding,TEAD3
ENSG00000007908,0,4,2,2,0,0,0,0,protein_coding,SELE
ENSG00000007923,2565,2919,2517,3012,923,322,367,895,protein_coding,DNAJC11
ENSG00000007933,6,6,4,3,2,1,3,3,protein_coding,FMO3
ENSG00000007944,1015,1057,721,963,303,103,173,423,protein_coding,MYLIP
ENSG00000007952,36,34,52,42,9,0,5,10,protein_coding,NOX1
ENSG00000007968,243,342,361,333,59,27,36,121,protein_coding,E2F2
ENSG00000008018,5966,7852,9083,9263,2503,833,893,2185,protein_coding,PSMB1
ENSG00000008056,11,3,4,6,41,7,3,15,protein_coding,SYN1
ENSG00000008083,1950,2309,1358,1691,339,126,137,315,protein_coding,JARID2
ENSG00000008086,468,539,461,464,2229,750,491,1475,protein_coding,CDKL5
ENSG00000008118,2,2,1,4,14,7,6,20,protein_coding,CAMK1G
ENSG00000008128,92,95,54,90,1,0,0,1,protein_coding,CDK11A
ENSG00000008130,1893,2181,1866,2050,168,70,102,293,protein_coding,NADK
ENSG00000008196,1,0,1,2,0,0,1,1,protein_coding,TFAP2B
ENSG00000008197,0,0,0,0,0,0,0,0,protein_coding,TFAP2D
ENSG00000008226,31,30,29,24,3,1,0,4,protein_coding,DLEC1
ENSG00000008256,1234,1477,2083,2225,155,47,74,222,protein_coding,CYTH3
ENSG00000008277,705,857,1149,1303,392,131,172,425,protein_coding,ADAM22
ENSG00000008282,5437,6652,6669,5933,2529,906,747,2089,protein_coding,SYPL1
ENSG00000008283,4165,5083,4768,5107,1568,548,824,2078,protein_coding,CYB561
ENSG00000008294,2364,2610,2286,2463,1759,520,566,1628,protein_coding,SPAG9
ENSG00000008300,809,915,309,457,87,45,37,83,protein_coding,CELSR3
ENSG00000008311,1481,1724,2321,2536,1057,343,440,1377,protein_coding,AASS
ENSG00000008323,76,72,42,44,38,13,16,59,protein_coding,PLEKHG6
ENSG00000008324,370,448,354,470,85,31,38,102,protein_coding,SS18L2
ENSG00000008382,160,163,188,382,29,14,34,53,protein_coding,MPND
ENSG00000008394,8057,9361,16947,20690,5702,1945,1891,5800,protein_coding,MGST1
ENSG00000008405,1120,1286,694,826,704,222,213,438,protein_coding,CRY1
ENSG00000008438,0,2,6,3,2,2,3,3,protein_coding,PGLYRP1
ENSG00000008441,29315,32229,27349,38229,1576,522,543,1598,protein_coding,NFIX
ENSG00000008513,32077,35057,27535,34998,3761,1273,968,2417,protein_coding,ST3GAL1
ENSG00000008516,42,29,26,29,8,7,5,21,protein_coding,MMP25
ENSG00000008517,749,862,351,376,427,180,184,485,protein_coding,IL32
ENSG00000008710,2408,2295,1464,2263,202,90,108,272,protein_coding,PKD1
ENSG00000008735,422,507,387,845,23,3,4,9,protein_coding,MAPK8IP2
ENSG00000008838,2207,2764,1931,2720,515,175,272,583,protein_coding,MED24
ENSG00000008853,399,446,460,651,288,84,165,434,protein_coding,RHOBTB2
ENSG00000008869,1875,2195,2014,2303,794,285,324,788,protein_coding,HEATR5B
ENSG00000008952,7837,8921,9378,11578,444,105,151,541,protein_coding,SEC62
ENSG00000008988,8702,10443,10424,15819,2215,717,865,2097,protein_coding,RPS20
ENSG00000009307,41323,46832,42576,47359,11834,3667,3714,10540,protein_coding,CSDE1
ENSG00000009335,5752,6796,5912,6545,3278,1052,1258,3042,protein_coding,UBE3C
ENSG00000009413,2009,2538,1504,1559,1044,338,471,1286,protein_coding,REV3L
ENSG00000009694,1281,1424,468,559,18,9,1,16,protein_coding,TENM1
ENSG00000009709,0,0,0,1,1,0,0,0,protein_coding,PAX7
ENSG00000009724,216,232,182,218,73,22,33,98,protein_coding,MASP2
ENSG00000009765,501,545,619,572,0,2,2,1,protein_coding,IYD
ENSG00000009780,546,569,604,684,267,81,111,320,protein_coding,FAM76A
ENSG00000009790,18,22,7,16,7,3,1,5,protein_coding,TRAF3IP3
ENSG00000009830,1359,1633,971,1137,203,69,87,230,protein_coding,POMT2
ENSG00000009844,4157,4725,4302,4550,2411,857,862,2552,protein_coding,VTA1
ENSG00000009950,270,239,268,332,32,14,25,61,protein_coding,MLXIPL
ENSG00000009954,10078,11627,9113,9988,519,159,261,679,protein_coding,BAZ1B
ENSG00000010017,3848,4008,2747,2904,682,224,240,737,protein_coding,RANBP9
ENSG00000010030,4,11,24,40,7,0,1,3,protein_coding,ETV7
ENSG00000010072,695,873,779,863,313,105,129,403,protein_coding,SPRTN
ENSG00000010165,887,1141,1418,1897,824,283,497,1210,protein_coding,EEF1AKNMT
ENSG00000010219,877,1026,807,1030,331,101,167,463,protein_coding,DYRK4
ENSG00000010244,7330,8596,7972,9302,3514,1302,1351,3777,protein_coding,ZNF207
ENSG00000010256,3155,3586,2879,4982,2028,671,918,2208,protein_coding,UQCRC1
ENSG00000010270,1660,1833,1863,2236,885,310,334,880,protein_coding,STARD3NL
ENSG00000010278,42479,41756,29716,45053,2572,785,628,1792,protein_coding,CD9
ENSG00000010282,2,4,1,3,0,0,0,0,protein_coding,HHATL
ENSG00000010292,3546,4163,4192,4060,3597,1259,1405,3858,protein_coding,NCAPD2
ENSG00000010295,15,16,13,3,26,8,5,11,protein_coding,IFFO1
ENSG00000010310,2,2,1,4,15,8,2,15,protein_coding,GIPR
ENSG00000010318,375,360,417,493,100,41,51,157,protein_coding,PHF7
ENSG00000010319,351,336,353,405,10,4,5,13,protein_coding,SEMA3G
ENSG00000010322,4662,5032,4012,5528,708,256,333,889,protein_coding,NISCH
ENSG00000010327,16,12,5,8,6,2,2,9,protein_coding,STAB1
ENSG00000010361,225,233,122,220,51,5,21,58,protein_coding,FUZ
ENSG00000010379,10,11,10,13,0,0,1,1,protein_coding,SLC6A13
ENSG00000010404,330,162,232,145,165,56,70,170,protein_coding,IDS
ENSG00000010438,0,1,1,4,47,15,5,27,protein_coding,PRSS3
ENSG00000010539,468,575,522,499,100,44,46,132,protein_coding,ZNF200
ENSG00000010610,15,20,9,19,0,0,0,0,protein_coding,CD4
ENSG00000010626,456,519,604,672,87,38,47,100,protein_coding,LRRC23
ENSG00000010671,7,4,9,8,10,2,4,19,protein_coding,BTK
ENSG00000010704,140,200,225,195,7,0,2,1,protein_coding,HFE
ENSG00000010803,2328,2529,2497,3053,463,153,194,644,protein_coding,SCMH1
ENSG00000010810,253,265,91,179,313,106,114,301,protein_coding,FYN
ENSG00000010818,2958,3419,1789,1910,1950,623,407,1146,protein_coding,HIVEP2
ENSG00000010932,27,34,33,48,4,3,2,4,protein_coding,FMO1
ENSG00000011007,3026,3600,2612,3118,714,246,293,799,protein_coding,ELOA
ENSG00000011009,978,1121,749,1130,234,88,142,320,protein_coding,LYPLA2
ENSG00000011021,993,1272,737,847,181,64,66,220,protein_coding,CLCN6
ENSG00000011028,9,4,13,13,332,120,101,275,protein_coding,MRC2
ENSG00000011052,0,0,0,0,0,0,0,0,protein_coding,NME1-NME2
ENSG00000011083,0,0,0,0,0,1,0,0,protein_coding,SLC6A7
ENSG00000011105,756,862,862,1359,360,145,218,538,protein_coding,TSPAN9
ENSG00000011114,2691,3086,2260,2346,506,170,177,477,protein_coding,BTBD7
ENSG00000011132,371,414,294,470,176,69,97,273,protein_coding,APBA3
ENSG00000011143,702,843,666,799,241,105,159,403,protein_coding,MKS1
ENSG00000011198,1563,1738,1601,1727,1800,640,457,1338,protein_coding,ABHD5
ENSG00000011201,3,1,5,3,4326,1489,1302,3697,protein_coding,ANOS1
ENSG00000011243,3651,4010,2187,2746,634,191,212,587,protein_coding,AKAP8L
ENSG00000011258,1979,2198,1871,1998,1711,582,551,1507,protein_coding,MBTD1
ENSG00000011260,1125,1293,1292,1518,269,89,116,326,protein_coding,UTP18
ENSG00000011275,1488,1801,1138,1445,1140,391,462,1236,protein_coding,RNF216
ENSG00000011295,4800,5519,3431,3677,615,246,246,774,protein_coding,TTC19
ENSG00000011304,6626,8023,7621,9062,2878,970,903,2542,protein_coding,PTBP1
ENSG00000011332,250,238,216,278,51,22,31,88,protein_coding,DPF1
ENSG00000011347,3978,3956,2783,3727,115,46,37,151,protein_coding,SYT7
ENSG00000011376,2282,2615,3405,4228,690,226,380,1010,protein_coding,LARS2
ENSG00000011405,6029,6639,4510,4390,2091,574,690,1880,protein_coding,PIK3C2A
ENSG00000011422,69,85,38,52,2205,963,692,1723,protein_coding,PLAUR
ENSG00000011426,4575,5394,6302,6096,10629,3369,3488,10092,protein_coding,ANLN
ENSG00000011451,5098,5646,2374,3355,654,236,287,702,protein_coding,WIZ
ENSG00000011454,5564,6430,5573,6126,427,129,148,426,protein_coding,RABGAP1
ENSG00000011465,2,0,0,0,0,0,0,0,protein_coding,DCN
ENSG00000011478,132,146,112,183,132,54,73,182,protein_coding,QPCTL
ENSG00000011485,1521,1746,1779,2223,494,179,301,767,protein_coding,PPP5C
ENSG00000011523,577,566,750,878,404,164,226,681,protein_coding,CEP68
ENSG00000011566,1515,1620,1236,1271,850,290,245,786,protein_coding,MAP4K3
ENSG00000011590,48,49,81,122,2,1,4,17,protein_coding,ZBTB32
ENSG00000011600,0,0,0,0,0,0,0,0,protein_coding,TYROBP
ENSG00000011638,570,639,437,515,226,76,89,210,protein_coding,TMEM159
ENSG00000011677,179,218,181,236,255,69,64,181,protein_coding,GABRA3
ENSG00000012048,2071,2480,3458,3562,674,255,329,914,protein_coding,BRCA1
ENSG00000012061,465,575,529,775,801,333,340,786,protein_coding,ERCC1
ENSG00000012124,14,20,7,3,0,0,2,0,protein_coding,CD22
ENSG00000012171,488,531,243,532,299,121,88,244,protein_coding,SEMA3B
ENSG00000012174,1878,2283,2266,2283,2872,1112,1260,3393,protein_coding,MBTPS2
ENSG00000012211,521,647,431,673,116,37,63,138,protein_coding,PRICKLE3
ENSG00000012223,21,28,106,257,0,0,0,0,protein_coding,LTF
ENSG00000012232,1241,1424,868,1175,1436,501,581,1583,protein_coding,EXTL3
ENSG00000012504,2,4,0,1,0,0,0,0,protein_coding,NR1H4
ENSG00000012660,164582,203158,86541,96501,6637,2244,2869,7246,protein_coding,ELOVL5
ENSG00000012779,16,14,7,11,59,23,20,35,protein_coding,ALOX5
ENSG00000012817,1947,2354,2081,2512,0,0,0,0,protein_coding,KDM5D
ENSG00000012822,3069,3084,1653,1918,1147,388,252,824,protein_coding,CALCOCO1
ENSG00000012963,1800,2044,1877,2189,522,163,202,539,protein_coding,UBR7
ENSG00000012983,3468,3720,2256,2312,4195,1358,1040,2927,protein_coding,MAP4K5
ENSG00000013016,570,694,710,1184,293,87,160,362,protein_coding,EHD3
ENSG00000013275,3446,3977,3141,4393,1629,540,596,1643,protein_coding,PSMC4
ENSG00000013288,1876,2255,1893,2241,152,51,58,158,protein_coding,MAN2B2
ENSG00000013293,0,2,0,0,3,1,2,0,protein_coding,SLC7A14
ENSG00000013297,9,11,7,4,237,108,125,409,protein_coding,CLDN11
ENSG00000013306,3055,3535,3042,5457,4739,1717,2524,6235,protein_coding,SLC25A39
ENSG00000013364,221,258,299,475,469,173,209,570,protein_coding,MVP
ENSG00000013374,3345,3879,4411,5124,986,317,418,1185,protein_coding,NUB1
ENSG00000013375,1950,2506,2566,2750,1702,591,460,1367,protein_coding,PGM3
ENSG00000013392,1585,2086,1857,2144,105,31,24,81,protein_coding,RWDD2A
ENSG00000013441,11472,11641,4611,5038,2643,829,540,1232,protein_coding,CLK1
ENSG00000013503,1353,1763,2623,2760,686,219,328,898,protein_coding,POLR3B
ENSG00000013523,1246,1348,1108,1528,125,56,94,264,protein_coding,ANGEL1
ENSG00000013561,2437,2805,2363,2954,621,202,234,674,protein_coding,RNF14
ENSG00000013563,438,482,268,415,71,33,41,91,protein_coding,DNASE1L1
ENSG00000013573,1144,1220,971,1193,257,85,136,338,protein_coding,DDX11
ENSG00000013583,1337,1659,2122,2145,386,124,165,404,protein_coding,HEBP1
ENSG00000013588,3,4,9,5,11759,4153,2116,5767,protein_coding,GPRC5A
ENSG00000013619,108,93,58,70,190,73,69,217,protein_coding,MAMLD1
ENSG00000013725,0,0,0,0,10,3,6,14,protein_coding,CD6
ENSG00000013810,3979,4622,3701,4465,686,205,370,852,protein_coding,TACC3
ENSG00000014123,3447,3761,4946,5166,739,289,346,973,protein_coding,UFL1
ENSG00000014138,186,229,167,217,263,121,160,380,protein_coding,POLA2
ENSG00000014164,232,286,207,332,240,110,96,314,protein_coding,ZC3H3
ENSG00000014216,3914,4494,2800,4111,3392,1182,961,2502,protein_coding,CAPN1
ENSG00000014257,316,408,1202,1378,58,25,20,40,protein_coding,ACP3
ENSG00000014641,2564,3076,2927,3608,1794,656,637,1674,protein_coding,MDH1
ENSG00000014824,9357,10138,10440,12505,2078,739,545,1442,protein_coding,SLC30A9
